container,crop,rep,bay,reservoir_size_liters,plant,date,pH,EC,h2o_temp_C,d.o.,plant_height_cm,harvest_fresh_mass_g,harvest_dry_mass_g,PAR_CCT,PAR_CRI (Ra),PAR_DLI,PAR_ä½D (380~780 nm),PAR_ä½p (380~780 nm),PAR_Illuminance,PAR_PPFD (400 - 700 nm),PAR_PPFD B (400 - 499 nm),PAR_PPFD FR (701 - 780 nm),PAR_PPFD G (500 - 599 nm),PAR_PPFD R (600 - 700 nm),PAR_PPFD UV (380 - 399 nm),PAR_R/B,PAR_R/FR,PAR_YPFD (380 - 780 nm),PAR_YPFD (400 - 700 nm),PAR_YPFD B (400 - 499 nm),PAR_YPFD FR (701 - 780 nm),PAR_YPFD G (500 - 599 nm),PAR_YPFD R (600 - 700 nm),PAR_YPFD UV (380 - 399 nm),solution_K_ppmK,solution_Ca_ppmCA,solution_Mg_ppmMg,solution_Na_ppmNa,solution_P_ppmN,solution_S_ppmS,solution_Cl_ppmCl,solution_NH4N_ppmNH4N,solution_NO3N_ppmNO3N,solution_ALK_ppmCaCO3,solution_pH,solution_EC,solution_Urea_ppmurea,solution_Fe_ppm_Fe,solution_Mn_ppmMn,solution_B_ppmB,solution_Cu_ppmCu,solution_Zn_ppmAn,solution_Mo_ppmMo,solution_Al_ppmAl,tissue_N_%,tissue_P_%,tissue_K_%,tissue_Ca_%,tissue_Mg_%,tissue_S_ppm,tissue_Fe_ppm,tissue_Mn_ppm,tissue_B_ppm,tissue_Cu_ppm,tissue_Zn_ppm,tissue_Mo_ppm,tissue_Na_ppm,tissue_Al_ppm
FS2,basil,2,209,75,904,20181029,6.2,2.2,26,NA,22,NA,NA,0,0,32.538,0,662,6724,376.6,106.71,6.4196,22.02,247.89,0.2877,2.32,38.61,328.52,326.96,78.139,1.3887,19.459,229.39,0.1693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,905,20181029,6.2,2.2,26,NA,24,NA,NA,0,0,36.5,0,662,7725,422.46,126.82,7.1746,26.128,269.53,0.2723,2.13,37.57,367.02,365.32,92.866,1.5487,23.075,249.41,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,906,20181029,6.2,2.2,26,NA,12,NA,NA,0,0,19.76,0,662,4116,228.71,66.97,3.9852,13.828,147.92,0.1668,2.21,37.12,198.95,197.97,49.03,0.8814,12.219,136.74,0.0992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,907,20181029,6.2,2.2,26,NA,22,NA,NA,0,0,41.288,0,664,8415,477.87,135,8.1835,26.266,316.62,0.3094,2.35,38.69,416.71,414.63,98.838,1.892,23.207,292.62,0.1824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,908,20181029,6.2,2.2,26,NA,24,NA,NA,0,0,29.512,0,662,6127,341.57,95,5.8369,20.174,226.42,0.2349,2.38,38.79,298.2,296.78,69.539,1.2827,17.842,209.43,0.1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,909,20181029,6.2,2.2,26,NA,22.5,NA,NA,0,0,39.7,0,663,8235,459.49,134.75,8.3408,26.801,297.97,0.3238,2.21,35.72,399.76,397.76,98.643,1.8045,23.671,275.49,0.1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,910,20181029,6.2,2.2,26,NA,21,NA,NA,0,0,37.238,0,662,7814,431,125.47,7.3849,25.939,279.61,0.2977,2.23,37.86,375.23,373.42,91.872,1.6409,22.928,258.66,0.1771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,911,20181029,6.2,2.2,26,NA,14,NA,NA,0,0,23.741,0,662,5241,274.78,79.377,4.8878,18.694,176.72,0.1863,2.23,36.16,239.24,238.07,58.11,1.0584,16.535,163.45,0.1101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,912,20181029,6.2,2.2,26,NA,21.5,NA,NA,0,0,33.513,0,662,6959,387.88,112.76,6.7445,23.294,251.85,0.2693,2.23,37.34,337.56,335.92,82.556,1.4763,20.596,232.8,0.1586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,913,20181029,6.2,2.2,26,NA,23,NA,NA,0,0,33.758,0,662,6798,390.71,109.07,6.6631,21.471,260.19,0.3106,2.39,39.05,341.09,339.43,79.832,1.4735,18.989,240.64,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
